,YEARS,ACCIDENTS_WITH_VICTIMS,INJURIES,DEATHS
0,1960,12537,14336,641
1,1961,14736,17197,738
2,1965,16538,20053,920
3,1970,22662,28849,1417
4,1975,33109,40576,2676
5,1976,30568,36264,2594
6,1977,30062,35047,2153
7,1978,32637,35957,2173
8,1979,33331,37837,2186
9,1980,33886,41101,2262
10,1981,33560,44574,2269
11,1982,35324,47116,2126
12,1983,31285,39545,2177
13,1984,29255,39365,1841
14,1985,29156,39560,1875
15,1986,30485,41100,1982
16,1987,38656,54517,2296
17,1988,41915,59532,2534
18,1989,43499,61519,2375
19,1990,45110,63329,2321
20,1991,48953,69535,2475
21,1992,50851,70986,2372
22,1993,48645,66710,2077
23,1994,45830,62163,1926
24,1995,48339,65827,2085
25,1996,49265,66627,2100
26,1997,49417,66516,1939
27,1998,49319,66603,1865
28,1999,47966,65327,1750
29,2000,44159,59924,1629
30,2001,42521,57044,1466
31,2002,42219,56585,1469
32,2003,41495,55258,1356
33,2004,38930,52009,1135
34,2005,37066,49249,1094
35,2006,35680,47137,850
36,2007,35311,46318,854
37,2008,33613,43933,776
38,2009,35484,46414,737
39,2010,35426,46561,741
40,2011,32541,42162,689
41,2012,29867,38250,573
42,2013,30339,38872,518
43,2014,30604,39171,482
44,2015,31953,41076,473
45,2016,32299,41223,445
46,2017,34416,43985,510
47,2018,34235,43497,508
48,2019,35704,45503,474
49,2020,26501,32535,390
50,2021,29217,36323,390
51,2022,32788,40699,462
